DateTime,AnimalID,System,PositionID
2023-04-24T10:27:47Z,OR426,sys.5,3
2023-04-24T10:27:49Z,OR432,sys.1,8
2023-04-24T10:27:53Z,OR432,sys.1,3
2023-04-24T10:27:54Z,OR437,sys.4,3
2023-04-24T10:27:57Z,1546,sys.4,7
2023-04-24T10:27:58Z,OR414,sys.3,4
2023-04-24T10:27:58Z,OR415,sys.3,3
2023-04-24T10:27:59Z,OR426,sys.5,7
2023-04-24T10:28:01Z,OR424,sys.1,7
2023-04-24T10:28:05Z,OR434,sys.5,3
2023-04-24T10:28:05Z,OR419,sys.1,3
2023-04-24T10:28:08Z,OR424,sys.1,7
2023-04-24T10:28:10Z,OR429,sys.4,3
2023-04-24T10:28:13Z,OR414,sys.3,7
2023-04-24T10:28:14Z,OR428,sys.1,3
2023-04-24T10:28:15Z,OR426,sys.5,3
2023-04-24T10:28:17Z,OR436,sys.2,4
2023-04-24T10:28:18Z,OR428,sys.1,7
2023-04-24T10:28:18Z,1545,sys.2,3
2023-04-24T10:28:19Z,OR430,sys.5,8
2023-04-24T10:28:19Z,1547,sys.5,4
2023-04-24T10:28:21Z,OR426,sys.5,7
2023-04-24T10:28:21Z,OR416,sys.3,8
2023-04-24T10:28:22Z,OR437,sys.4,7
2023-04-24T10:28:23Z,OR419,sys.1,7
2023-04-24T10:28:24Z,OR414,sys.3,4
2023-04-24T10:28:25Z,OR420,sys.2,3
2023-04-24T10:28:26Z,OR432,sys.1,8
2023-04-24T10:28:26Z,OR419,sys.1,7
2023-04-24T10:28:27Z,OR432,sys.1,7
2023-04-24T10:28:27Z,1547,sys.5,7
2023-04-24T10:28:27Z,OR436,sys.2,7
2023-04-24T10:28:29Z,OR430,sys.5,7
2023-04-24T10:28:30Z,OR434,sys.5,7
2023-04-24T10:28:30Z,1547,sys.5,7
2023-04-24T10:28:31Z,OR436,sys.2,3
2023-04-24T10:28:35Z,OR424,sys.1,7
2023-04-24T10:28:35Z,OR416,sys.3,7
2023-04-24T10:28:38Z,OR413,sys.3,8
2023-04-24T10:28:40Z,OR432,sys.1,8
2023-04-24T10:28:44Z,1547,sys.5,3
2023-04-24T10:28:45Z,OR426,sys.5,3
2023-04-24T10:28:45Z,OR413,sys.3,7
2023-04-24T10:28:46Z,OR432,sys.1,3
2023-04-24T10:28:52Z,OR414,sys.3,7
2023-04-24T10:28:52Z,OR415,sys.3,4
2023-04-24T10:28:52Z,OR424,sys.1,7
2023-04-24T10:28:54Z,OR428,sys.1,4
2023-04-24T10:28:55Z,1546,sys.4,3
2023-04-24T10:28:58Z,OR425,sys.2,7
2023-04-24T10:29:00Z,1545,sys.2,8
2023-04-24T10:29:01Z,OR428,sys.1,3
2023-04-24T10:29:01Z,OR432,sys.1,4
2023-04-24T10:29:01Z,OR415,sys.3,7
2023-04-24T10:29:01Z,OR429,sys.4,3
2023-04-24T10:29:03Z,OR419,sys.1,7
2023-04-24T10:29:03Z,OR416,sys.3,3
2023-04-24T10:29:04Z,OR420,sys.2,7
2023-04-24T10:29:04Z,1547,sys.5,3
2023-04-24T10:29:05Z,1546,sys.4,7
2023-04-24T10:29:09Z,OR416,sys.3,7
2023-04-24T10:29:10Z,OR434,sys.5,4
2023-04-24T10:29:11Z,OR426,sys.5,7
2023-04-24T10:29:13Z,OR414,sys.3,4
2023-04-24T10:29:15Z,OR434,sys.5,7
2023-04-24T10:29:15Z,1545,sys.2,3
2023-04-24T10:29:16Z,OR415,sys.3,4
2023-04-24T10:29:18Z,OR426,sys.5,3
2023-04-24T10:29:18Z,OR413,sys.3,4
2023-04-24T10:29:19Z,OR414,sys.3,3
2023-04-24T10:29:20Z,OR420,sys.2,3
2023-04-24T10:29:20Z,OR436,sys.2,7
2023-04-24T10:29:21Z,OR424,sys.1,7
2023-04-24T10:29:22Z,OR428,sys.1,4
2023-04-24T10:29:23Z,OR413,sys.3,3
2023-04-24T10:29:23Z,1545,sys.2,4
2023-04-24T10:29:27Z,1547,sys.5,7
2023-04-24T10:29:28Z,OR415,sys.3,7
2023-04-24T10:29:28Z,1545,sys.2,3
2023-04-24T10:29:29Z,OR419,sys.1,3
2023-04-24T10:29:31Z,OR424,sys.1,7
2023-04-24T10:29:32Z,OR428,sys.1,3
2023-04-24T10:29:35Z,OR426,sys.5,7
2023-04-24T10:29:37Z,OR429,sys.4,3
2023-04-24T10:29:38Z,1547,sys.5,4
2023-04-24T10:29:38Z,1545,sys.2,4
2023-04-24T10:29:39Z,OR432,sys.1,3
2023-04-24T10:29:41Z,OR420,sys.2,7
2023-04-24T10:29:41Z,OR426,sys.5,7
2023-04-24T10:29:43Z,1545,sys.2,3
2023-04-24T10:29:44Z,OR419,sys.1,7
2023-04-24T10:29:44Z,OR429,sys.4,3
2023-04-24T10:29:45Z,OR430,sys.5,8
2023-04-24T10:29:46Z,OR426,sys.5,7
2023-04-24T10:29:46Z,OR424,sys.1,3
2023-04-24T10:29:51Z,OR433,sys.4,7
2023-04-24T10:29:52Z,OR426,sys.5,7
2023-04-24T10:29:52Z,OR430,sys.5,7
2023-04-24T10:29:55Z,OR419,sys.1,3
2023-04-24T10:30:00Z,OR430,sys.5,8
2023-04-24T10:30:02Z,1547,sys.5,7
2023-04-24T10:30:06Z,OR433,sys.4,3
2023-04-24T10:30:08Z,OR419,sys.1,3
2023-04-24T10:30:14Z,OR434,sys.5,3
2023-04-24T10:30:14Z,OR424,sys.1,7
2023-04-24T10:30:16Z,OR425,sys.2,3
2023-04-24T10:30:19Z,OR416,sys.3,7
2023-04-24T10:30:20Z,OR430,sys.5,3
2023-04-24T10:30:23Z,OR432,sys.1,4
2023-04-24T10:30:25Z,OR425,sys.2,7
2023-04-24T10:30:27Z,OR434,sys.5,7
2023-04-24T10:30:27Z,OR432,sys.1,3
2023-04-24T10:30:32Z,OR433,sys.4,4
2023-04-24T10:30:33Z,OR434,sys.5,3
2023-04-24T10:30:35Z,OR426,sys.5,3
2023-04-24T10:30:35Z,1547,sys.5,7
2023-04-24T10:30:36Z,OR432,sys.1,8
2023-04-24T10:30:37Z,OR428,sys.1,8
2023-04-24T10:30:42Z,OR434,sys.5,3
2023-04-24T10:30:42Z,OR426,sys.5,7
2023-04-24T10:30:44Z,1546,sys.4,7
2023-04-24T10:30:45Z,OR414,sys.3,4
2023-04-24T10:30:47Z,OR416,sys.3,7
2023-04-24T10:30:51Z,OR426,sys.5,3
2023-04-24T10:30:53Z,OR414,sys.3,7
2023-04-24T10:30:53Z,OR434,sys.5,7
2023-04-24T10:30:56Z,OR432,sys.1,7
2023-04-24T10:30:56Z,OR433,sys.4,7
2023-04-24T10:30:58Z,OR428,sys.1,7
2023-04-24T10:31:02Z,OR434,sys.5,3
2023-04-24T10:31:05Z,OR434,sys.5,7
2023-04-24T10:31:09Z,OR426,sys.5,3
2023-04-24T10:31:13Z,OR426,sys.5,3
2023-04-24T10:31:13Z,OR416,sys.3,3
2023-04-24T10:31:15Z,OR426,sys.5,3
2023-04-24T10:31:18Z,1547,sys.5,3
2023-04-24T10:31:19Z,OR430,sys.5,4
2023-04-24T10:31:22Z,OR413,sys.3,4
2023-04-24T10:31:26Z,1546,sys.4,3
2023-04-24T10:31:30Z,OR415,sys.3,4
2023-04-24T10:31:33Z,OR428,sys.1,3
2023-04-24T10:31:37Z,OR426,sys.5,7
2023-04-24T10:31:39Z,OR415,sys.3,7
2023-04-24T10:31:41Z,OR426,sys.5,4
2023-04-24T10:31:49Z,OR413,sys.3,3
2023-04-24T10:31:49Z,OR416,sys.3,3
2023-04-24T10:31:52Z,OR413,sys.3,8
2023-04-24T10:31:55Z,OR434,sys.5,3
2023-04-24T10:31:56Z,OR426,sys.5,7
2023-04-24T10:32:00Z,1547,sys.5,3
2023-04-24T10:32:01Z,OR434,sys.5,7
2023-04-24T10:32:04Z,OR414,sys.3,4
2023-04-24T10:32:05Z,OR413,sys.3,7
2023-04-24T10:32:05Z,1546,sys.4,4
2023-04-24T10:32:06Z,OR432,sys.1,7
2023-04-24T10:32:06Z,OR416,sys.3,8
2023-04-24T10:32:08Z,OR426,sys.5,3
2023-04-24T10:32:12Z,OR430,sys.5,7
2023-04-24T10:32:13Z,1546,sys.4,3
2023-04-24T10:32:15Z,OR414,sys.3,7
2023-04-24T10:32:16Z,OR432,sys.1,7
2023-04-24T10:32:19Z,OR415,sys.3,4
2023-04-24T10:32:20Z,OR434,sys.5,7
2023-04-24T10:32:20Z,1547,sys.5,3
2023-04-24T10:32:21Z,OR430,sys.5,7
2023-04-24T10:32:21Z,OR415,sys.3,7
2023-04-24T10:32:22Z,1547,sys.5,3
2023-04-24T10:32:23Z,OR432,sys.1,3
2023-04-24T10:32:28Z,OR416,sys.3,3
2023-04-24T10:32:29Z,OR413,sys.3,3
2023-04-24T10:32:32Z,OR432,sys.1,7
2023-04-24T10:32:35Z,OR414,sys.3,4
2023-04-24T10:32:36Z,OR430,sys.5,7
2023-04-24T10:32:38Z,OR416,sys.3,4
2023-04-24T10:32:39Z,OR414,sys.3,3
2023-04-24T10:32:41Z,OR413,sys.3,7
2023-04-24T10:32:41Z,1546,sys.4,4
2023-04-24T10:32:42Z,OR426,sys.5,7
2023-04-24T10:32:43Z,OR415,sys.3,4
2023-04-24T10:32:47Z,OR416,sys.3,3
2023-04-24T10:32:48Z,OR426,sys.5,7
2023-04-24T10:32:55Z,1546,sys.4,7
2023-04-24T10:32:58Z,OR436,sys.2,3
2023-04-24T10:32:59Z,OR415,sys.3,3
2023-04-24T10:32:59Z,1546,sys.4,3
2023-04-24T10:33:01Z,OR426,sys.5,7
2023-04-24T10:33:06Z,OR433,sys.4,4
2023-04-24T10:33:06Z,OR436,sys.2,7
2023-04-24T10:33:09Z,OR428,sys.1,7
2023-04-24T10:33:17Z,OR426,sys.5,3
2023-04-24T10:33:19Z,OR425,sys.2,3
2023-04-24T10:33:20Z,OR428,sys.1,3
2023-04-24T10:33:21Z,OR433,sys.4,7
2023-04-24T10:33:22Z,OR434,sys.5,3
2023-04-24T10:33:23Z,1547,sys.5,3
2023-04-24T10:33:27Z,1546,sys.4,3
2023-04-24T10:33:30Z,OR428,sys.1,3
2023-04-24T10:33:30Z,OR426,sys.5,3
2023-04-24T10:33:30Z,OR415,sys.3,3
2023-04-24T10:33:31Z,OR429,sys.4,4
2023-04-24T10:33:38Z,1546,sys.4,4
2023-04-24T10:33:39Z,OR428,sys.1,7
2023-04-24T10:33:41Z,OR433,sys.4,3
2023-04-24T10:33:42Z,1546,sys.4,3
2023-04-24T10:33:45Z,OR426,sys.5,3
2023-04-24T10:33:47Z,OR433,sys.4,7
2023-04-24T10:33:47Z,1546,sys.4,8
2023-04-24T10:33:50Z,OR425,sys.2,7
2023-04-24T10:33:54Z,OR416,sys.3,7
2023-04-24T10:33:54Z,OR437,sys.4,7
2023-04-24T10:33:57Z,1547,sys.5,3
2023-04-24T10:33:57Z,1546,sys.4,7
2023-04-24T10:33:59Z,OR434,sys.5,7
2023-04-24T10:33:59Z,OR429,sys.4,3
2023-04-24T10:34:00Z,OR416,sys.3,7
2023-04-24T10:34:01Z,OR426,sys.5,7
2023-04-24T10:34:02Z,OR428,sys.1,3
2023-04-24T10:34:02Z,OR420,sys.2,3
2023-04-24T10:34:07Z,OR415,sys.3,3
2023-04-24T10:34:07Z,OR419,sys.1,3
2023-04-24T10:34:07Z,OR437,sys.4,7
2023-04-24T10:34:08Z,OR433,sys.4,3
2023-04-24T10:34:17Z,OR436,sys.2,3
2023-04-24T10:34:20Z,OR433,sys.4,7
2023-04-24T10:34:22Z,OR415,sys.3,7
2023-04-24T10:34:23Z,OR437,sys.4,3
2023-04-24T10:34:29Z,1545,sys.2,8
2023-04-24T10:34:30Z,OR429,sys.4,7
2023-04-24T10:34:34Z,OR437,sys.4,3
2023-04-24T10:34:36Z,OR433,sys.4,4
2023-04-24T10:34:36Z,OR413,sys.3,4
2023-04-24T10:34:37Z,OR425,sys.2,3
2023-04-24T10:34:39Z,1546,sys.4,7
2023-04-24T10:34:43Z,OR433,sys.4,3
2023-04-24T10:34:43Z,OR436,sys.2,7
2023-04-24T10:34:45Z,OR419,sys.1,7
2023-04-24T10:34:46Z,OR433,sys.4,4
2023-04-24T10:34:46Z,OR429,sys.4,3
2023-04-24T10:34:48Z,1545,sys.2,3
2023-04-24T10:34:50Z,OR428,sys.1,3
2023-04-24T10:34:51Z,OR413,sys.3,3
2023-04-24T10:34:51Z,OR436,sys.2,3
2023-04-24T10:34:52Z,OR419,sys.1,3
2023-04-24T10:34:52Z,OR437,sys.4,3
2023-04-24T10:34:58Z,OR437,sys.4,7
2023-04-24T10:34:59Z,OR424,sys.1,3
2023-04-24T10:35:00Z,1547,sys.5,7
2023-04-24T10:35:01Z,OR428,sys.1,7
2023-04-24T10:35:02Z,OR432,sys.1,3
2023-04-24T10:35:03Z,OR420,sys.2,7
2023-04-24T10:35:03Z,OR436,sys.2,3
2023-04-24T10:35:04Z,OR414,sys.3,8
2023-04-24T10:35:06Z,OR434,sys.5,3
2023-04-24T10:35:07Z,OR420,sys.2,7
2023-04-24T10:35:07Z,OR433,sys.4,7
2023-04-24T10:35:07Z,1545,sys.2,3
2023-04-24T10:35:08Z,OR413,sys.3,8
2023-04-24T10:35:14Z,1546,sys.4,7
2023-04-24T10:35:15Z,OR414,sys.3,3
2023-04-24T10:35:15Z,OR437,sys.4,7
2023-04-24T10:35:16Z,OR429,sys.4,3
2023-04-24T10:35:18Z,OR432,sys.1,7
2023-04-24T10:35:18Z,OR413,sys.3,7
2023-04-24T10:35:20Z,OR428,sys.1,7
2023-04-24T10:35:21Z,OR415,sys.3,7
2023-04-24T10:35:22Z,OR414,sys.3,8
2023-04-24T10:35:23Z,OR432,sys.1,7
2023-04-24T10:35:23Z,1546,sys.4,7
2023-04-24T10:35:29Z,1546,sys.4,3
2023-04-24T10:35:30Z,OR413,sys.3,3
2023-04-24T10:35:32Z,OR437,sys.4,3
2023-04-24T10:35:33Z,OR432,sys.1,7
