DateTime;Animal;RFID;AM;xPos;yPos;zPos
24.04.2023 12:24:52.201;OR428_sys.1;041AF89186;SAM;300.0;116.0;0.0
24.04.2023 12:24:54.448;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:25:27.963;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 12:26:30.109;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:27:05.496;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 12:27:31.187;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:28:14.918;OR428_sys.1;041AF89186;SAM;275.0;0.0;0.0
24.04.2023 12:28:18.092;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:28:54.064;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:29:01.373;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 12:29:22.392;OR428_sys.1;041AF89186;SAM;300.0;87.0;0.0
24.04.2023 12:29:32.995;OR428_sys.1;041AF89186;SAM;100.0;58.0;0.0
24.04.2023 12:30:37.640;OR428_sys.1;041AF89186;SAM;300.0;116.0;0.0
24.04.2023 12:30:58.023;OR428_sys.1;041AF89186;SAM;50.0;116.0;0.0
24.04.2023 12:31:33.888;OR428_sys.1;041AF89186;SAM;233.3;0.0;0.0
24.04.2023 12:33:09.141;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:33:20.235;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 12:33:30.991;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:33:39.122;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 12:34:02.789;OR428_sys.1;041AF89186;SAM;33.3;0.0;0.0
24.04.2023 12:34:50.021;OR428_sys.1;041AF89186;SAM;233.3;0.0;0.0
24.04.2023 12:35:01.054;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:35:20.574;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 12:35:47.139;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:35:55.855;OR428_sys.1;041AF89186;SAM;240.0;0.0;0.0
24.04.2023 12:36:25.302;OR428_sys.1;041AF89186;SAM;50.0;116.0;0.0
24.04.2023 12:37:30.989;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:37:38.104;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:38:40.797;OR428_sys.1;041AF89186;SAM;266.7;0.0;0.0
24.04.2023 12:39:01.647;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:39:34.428;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:39:38.678;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 12:41:08.400;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:41:32.312;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 12:41:43.610;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:41:45.453;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:42:13.245;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:43:27.310;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:43:38.413;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:44:02.932;OR428_sys.1;041AF89186;SAM;50.0;58.0;0.0
24.04.2023 12:44:39.438;OR428_sys.1;041AF89186;SAM;266.7;116.0;0.0
24.04.2023 12:45:03.600;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 12:45:06.403;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:45:25.329;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:45:49.517;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:45:52.642;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 12:46:35.202;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 12:47:04.787;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:49:14.610;OR428_sys.1;041AF89186;SAM;266.7;0.0;0.0
24.04.2023 12:49:32.402;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 12:53:13.493;OR428_sys.1;041AF89186;SAM;266.7;0.0;0.0
24.04.2023 12:53:30.054;OR428_sys.1;041AF89186;SAM;50.0;0.0;0.0
24.04.2023 12:53:42.433;OR428_sys.1;041AF89186;SAM;266.7;0.0;0.0
24.04.2023 12:54:33.830;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:56:10.988;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 12:56:20.604;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:56:22.475;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 12:57:27.735;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 12:57:34.556;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 12:57:51.057;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:58:08.202;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 12:58:18.124;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 12:58:26.746;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 12:58:37.829;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 13:04:27.115;OR428_sys.1;041AF89186;SAM;220.0;0.0;0.0
24.04.2023 13:05:58.985;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 13:08:14.091;OR428_sys.1;041AF89186;SAM;225.0;0.0;0.0
24.04.2023 13:08:42.805;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 13:09:02.824;OR428_sys.1;041AF89186;SAM;266.7;116.0;0.0
24.04.2023 13:09:08.739;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 13:09:27.187;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 13:09:58.288;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 13:31:46.439;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 13:31:54.750;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 13:32:00.014;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 13:32:16.601;OR428_sys.1;041AF89186;SAM;100.0;58.0;0.0
24.04.2023 14:54:45.175;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 14:54:57.131;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 14:55:32.977;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 14:55:48.995;OR428_sys.1;041AF89186;SAM;100.0;116.0;0.0
24.04.2023 14:56:27.487;OR428_sys.1;041AF89186;SAM;300.0;116.0;0.0
24.04.2023 14:56:59.457;OR428_sys.1;041AF89186;SAM;100.0;0.0;0.0
24.04.2023 14:57:25.933;OR428_sys.1;041AF89186;SAM;300.0;0.0;0.0
24.04.2023 14:57:29.027;OR428_sys.1;041AF89186;SAM;33.3;0.0;0.0
24.04.2023 18:40:05.072;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 18:40:14.235;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
24.04.2023 18:40:29.843;OR428_sys.1;041AF89186;SAM;200.0;116.0;0.0
24.04.2023 18:40:51.017;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 18:41:27.113;OR428_sys.1;041AF89186;SAM;250.0;0.0;0.0
24.04.2023 18:41:46.243;OR428_sys.1;041AF89186;SAM;0.0;116.0;0.0
24.04.2023 18:44:37.627;OR428_sys.1;041AF89186;SAM;200.0;0.0;0.0
24.04.2023 18:44:44.162;OR428_sys.1;041AF89186;SAM;0.0;0.0;0.0
